IP Address,Duration (in seconds),age,gender_men,participant_race_WHITE,participant_race_NONBLACK,participant_race_BLACK ,participant_EDU,What political party do you most identify with? - Selected Choice,political_ideology_continuous,"In terms of social and cultural issues, how liberal or conservative are you on a scale from 1-7 (from extremely liberal to extremely conservative)? - Political Ideology","In terms of economic issues, how liberal or conservative are you on a scale from 1-7 (from extremely liberal to extremely conservative)? - Political Ideology",generalSJ,racialSJ,educationsystem_effectiveness,courtsystem_effectiveness,economicsystem_effectiveness,prisonsystem_effectiveness,healthcaresystem_effectiveness,educationsystem_fairness,courtsystem_fairness,economicsystem_fairness,prisonsystem_fairness,healthcaresystem_fairness,courtprisonsystem_effectiveness_attitudes,courtprisonsystem_fairness_attitudes,courtsystem_attitudes,prisonsystem_attitudes,courtprisonsystem_attitdues,allsystem_attitudes,voting_importance,juryduty_importance,condition_categorical,Condition_Blackdefendant,appropriate_penalty,appropriate_penalty,verdict_PRE,confidence_guilty_PRE,confidence_notguilty_PRE,confidence_verdict_PRE,penalty_continuous_PRE_NA,penalty_continuous_PRE_0s,"If you had to sentence the individual being charged in this case, what would your verdict be?",verdict_POST,confidence_notguilty_POST,confidence_verdict_POST,confidenceinverdict_POST,penalty_continuous_POST,peNAlty_continuous_POST_NA,pe0lty_continuous_POST_0s,What socioeconomic class do you estimate the defendant in this case falls into?,impression_defendant_SES,What income bracket do you estimate the defendant in this case falls into?,impression_defendant_income,What is the highest level of education that you estimate the defendant in this case has?,impression_defendant_EDU,impression_defendant_trustworthiness,impression_defendant_intelligence,impression_defendant_dangerous,impression_defendant_reckless,impression_defendant_dominant,impression_defendant_competent,impression_defendant_hotheaded,impression_defendant_impulsive,Did the defendant in this case have an accent?,Which of the following best describes the accent the defendant had?,Please make your best guess as to which part of the United States the defendant in this case is from.,Because of today's PC (politically correct) standards I try to not appear racially prejudiced toward Black people.,I try to hide any racially prejudiced thoughts in order to avoid negative reactions from others.,I attempt to not appear racially prejudiced in order to avoid disapproval from others.,IMS,I attempt to not act in racially prejudiced ways because it is personally important to me.,I am personally motivated by my beliefs to not be racially prejudiced,"Because of my personal values, I believe that using racial stereotypes is wrong.",EMS ,"Because this study involved deception, as explained above, you have the right to withdraw consent to use the data we collected from you. If you give your consent, we will be able to use your data. If you do not give your consent, we will not be allowed to use your data and will have to destroy it. So please SELECT ONE:",Do you feel that you have been adequately debriefed about the nature of this study?,PROLIFIC_PID,con
96.245.192.7,939,43,0,0,1,0,3,Independent,1,1 Extremely Liberal/Left-Leaning,1 Extremely Liberal/Left-Leaning,1.375,1.875,1,2,2,1,1,3,2,2,1,3,1.5,1.5,2,1,1.5,1.8,4,4,white_written,0,2 years,2,1,2,,2,2,2,Guilty,1,2,,2,2 years,2,2,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,4,4,3,5,4,4,5,5,Northeast,,,4,5,5,4.666666667,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",6135e00cdb42bb8c6bc32b71,-1
104.246.126.218,673,35,0,1,1,0,5,Independent,5,3,6,3.25,3.25,3,2,2,2,2,3,2,2,3,3,2,2.5,2,2.5,2.25,2.4,6,6,white_written,0,1 year,1,0,,4,4,2,2,Not Guilty,0,,6,6,"I selected ""not guilty""",NA,0,Lower class,1,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,4,3,4,5,4,6,7,6,Northeast,,,6,4,6,5.333333333,7,6,7,6.666666667,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",660d5bcccf27b92fca721e40,-1
47.180.111.252,792,34,1,1,1,0,5,Democrat,6,5,6,5,5.25,4,2,2,3,3,4,2,4,3,3,2.5,2.5,2,3,2.5,3,5,6,white_written,0,4 years,4,1,5,,5,4,4,Guilty,1,5,,5,7 years,7,7,Middle class,3,"$61,000-$90,000",3,Bachelor's degree,3,6,5,5,5,6,6,4,3,South,,,5,3,3,3.666666667,5,6,3,4.666666667,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",5ea07a44234e0304542e1c50,-1
47.205.225.16,454,50,1,1,1,0,2,Independent,5,5,5,4.625,4.5,3,4,4,3,4,4,3,3,3,3,3.5,3,3.5,3,3.25,3.4,6,6,white_written,0,1 year,1,1,6,,6,2,2,Guilty,1,7,,7,2 years,2,2,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,4,3,4,6,4,4,6,6,Northeast,,,1,6,6,4.333333333,7,7,5,6.333333333,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",6684497541f835bd67a199b2,-1
75.223.40.16,626,45,1,1,1,0,4,Democrat,4,4,4,4,4,2,2,3,1,1,3,2,2,1,1,1.5,1.5,2,1,1.5,1.8,7,4,white_written,0,10 years,10,1,,,,10,10,Not Guilty,0,,5,5,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,4,4,2,3,1,4,3,3,West,,,4,4,4,4,6,6,7,6.333333333,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",58ef6ad040baf30001228d2c,-1
66.68.65.8,943,45,1,0,1,0,2,Independent,4,4,4,2.375,4.375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,white_written,0,3 years,3,1,6,,6,3,3,Guilty,1,6,,6,3 years,3,3,Lower class,1,"$0-$30,000",1,"High school graduate or equivalent (e.g., GED)",2,2,4,6,6,4,7,7,6,Northeast,,,2,2,1,1.666666667,2,2,2,2,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",6630f98bd3b56510917ec137,-1
24.189.248.243,533,30,0,1,1,0,2,Democrat,1,2,1 Extremely Liberal/Left-Leaning,2.625,2.875,2,2,2,2,2,2,2,2,1,1,2,1.5,2,1.5,1.75,1.8,6,6,white_written,0,2 years,2,0,,4,4,NA,0,Guilty,1,4,,4,2 years,2,2,Middle class,3,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,3,4,5,5,4,3,5,5,Northeast,,,5,4,4,4.333333333,6,6,6,6,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",6362bb3729aa5dc15ac0edbf,-1
74.74.131.154,1565,41,0,1,1,0,3,Republican,2,1 Extremely Liberal/Left-Leaning,3,2,3,2,2,1,1,1,2,2,1,2,1,1.5,2,2,1.5,1.75,1.5,5,1,white_written,0,5 years,5,0,,4,4,NA,0,Not Guilty,0,,6,6,"I selected ""not guilty""",NA,0,Lower middle class,2,"$0-$30,000",1,"High school graduate or equivalent (e.g., GED)",2,4,6,2,3,4,6,2,2,Northeast,,,4,4,4,4,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",5d54b73f1c1de70015d50959,-1
169.150.40.128,455,32,0,1,1,0,4,Independent,4,4,4,4.75,4,4,3,3,3,4,4,3,3,3,4,3,3,3,3,3,3.4,3,6,white_written,0,3 years,3,0,,7,7,7,7,Not Guilty,0,,5,5,3 years,3,3,Lower middle class,2,"$0-$30,000",1,"High school graduate or equivalent (e.g., GED)",2,4,5,3,4,6,4,5,4,South,,,6,6,6,6,6,6,6,6,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66d9eef3cf0f6fc79870b6ab,-1
73.229.192.191,731,57,0,1,1,0,3,Democrat,2,2,2,4.75,4.25,3,3,3,1,3,4,2,2,1,2,2,1.5,2.5,1,1.75,2.4,6,7,white_written,0,less than 1 year,0,0,,1,1,NA,0,Not Guilty,0,,1,1,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,3,3,3,3,3,4,4,5,Midwest,,,2,1,3,2,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66d5fbf1da0770230887026c,-1
24.62.144.215,568,33,0,1,1,0,5,Independent,3,2,4,1.5,2.75,1,3,2,1,2,1,3,1,1,1,2,2,3,1,2,1.6,3,2,white_written,0,5 years,5,0,,4,4,NA,0,Not Guilty,0,,4,4,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,3,3,3,5,4,2,5,4,Northeast,,,6,4,2,4,4,5,6,5,I give my consent for you to use my data,"NO, I DO NOT feel that I have been adequately debriefed",66e649b40ad32aefe24d1a94,-1
174.230.147.165,506,41,0,1,1,0,6,Republican,7,7 Extremely Conservative/Right-Leaning,6,5.5,4.5,3,3,4,2,4,4,3,3,2,4,2.5,2.5,3,2,2.5,3.2,7,7,white_written,0,3 years,3,0,,5,5,NA,0,Not Guilty,0,,3,3,"I selected ""not guilty""",NA,0,Lower class,1,"$0-$30,000",1,"High school graduate or equivalent (e.g., GED)",2,4,4,4,5,5,3,5,3,Northeast,,,5,5,5,5,7,6,7,6.666666667,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66b2499852ad11f580d4d546,-1
138.199.35.196,1486,35,0,1,1,0,5,Republican,5,5,5,4.25,3.5,4,5,4,4,3,3,4,4,4,3,4.5,4,4.5,4,4.25,3.8,7,7,white_written,0,5 years,5,0,,5,5,5,5,Not Guilty,0,,5,5,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,3,4,3,5,5,2,5,5,South,,,6,6,6,6,6,6,6,6,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",669f45c902420af78b04a9b1,-1
76.157.140.201,439,26,1,1,1,0,5,Republican,7,5,7 Extremely Conservative/Right-Leaning,5.125,6.25,2,5,5,2,3,4,5,5,4,4,3.5,4.5,5,3,4,3.9,7,7,white_written,0,2 years,2,0,,3,3,NA,0,Not Guilty,0,,5,5,"I selected ""not guilty""",NA,0,Upper middle class,4,"$61,000-$90,000",3,Bachelor's degree,3,4,5,5,5,5,4,5,5,Midwest,,,7,7,7,7,4,7,7,6,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",5d6a86b8c5508e001bb484bf,-1
131.150.244.78,501,39,1,1,1,0,3,Republican,4,4,4,3.875,4.25,3,3,2,2,3,3,3,3,2,2,2.5,2.5,3,2,2.5,2.6,3,5,white_written,0,3 years,3,1,4,,4,3,3,Guilty,1,4,,4,3 years,3,3,Middle class,3,"$61,000-$90,000",3,"High school graduate or equivalent (e.g., GED)",2,4,5,4,4,3,5,3,5,Midwest,,,2,6,6,4.666666667,6,6,6,6,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",60528727a8bd70153578f03a,-1
96.231.100.123,4140,47,1,1,1,0,5,Republican,5,5,6,4.875,5.625,4,3,4,2,4,5,4,5,2,4,2.5,3,3.5,2,2.75,3.7,7,7,white_written,0,2 years,2,0,,4,4,NA,0,Not Guilty,0,,4,4,"I selected ""not guilty""",NA,0,Lower middle class,2,"$61,000-$90,000",3,"High school graduate or equivalent (e.g., GED)",2,4,3,4,3,4,5,5,4,South,,,2,3,3,2.666666667,6,6,6,6,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",6338acf37db1cc85262cbfcb,-1
184.90.244.85,558,56,0,1,1,0,5,Republican,5,5,5,3.75,3.875,2,3,2,3,2,3,3,2,4,2,3,3.5,3,3.5,3.25,2.6,7,7,white_written,0,5 years,5,0,,5,5,5,5,Not Guilty,0,,6,6,"I selected ""not guilty""",NA,0,Middle class,3,"$31,000-$60,000",2,Bachelor's degree,3,4,6,1,1,4,7,1,1,Northeast,,,4,4,4,4,6,6,6,6,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66294b9d0cac193430847db9,-1
75.183.212.144,503,36,0,1,1,0,5,Democrat,2,2,2,4,3.875,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.1,7,6,white_written,0,10 years,10,0,,4,4,NA,0,Not Guilty,0,,4,4,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,4,4,4,4,4,4,5,5,Northeast,,,6,2,2,3.333333333,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",663e4c000f13ed12bc94bc41,-1
204.167.95.3,428,29,0,1,1,0,6,Democrat,1,1 Extremely Liberal/Left-Leaning,1 Extremely Liberal/Left-Leaning,1.625,2.375,3,2,2,1,1,2,2,1,1,1,1.5,1.5,2,1,1.5,1.6,7,7,white_written,0,2 years,2,0,,1,1,NA,0,Not Guilty,0,,4,4,"I selected ""not guilty""",NA,0,Middle class,3,"$61,000-$90,000",3,Bachelor's degree,3,5,4,6,7,7,4,7,7,Midwest,,,1,7,4,4,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",668eaec8a83c4f76483cd560,-1
81.161.4.221,2188,24,1,0,0,1,6,Independent,4,4,4,3.625,2.625,3,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2.3,7,7,white_southern,0,7 years,7,0,,7,7,NA,0,Not Guilty,0,,,,"I selected ""not guilty""",NA,0,Middle class,3,"$31,000-$60,000",2,Bachelor's degree,3,4,4,2,1,3,4,1,2,No,,Northeast,7,7,7,7,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66cbf44217ecb70bdf8e69d1,-1
170.4.34.72,1211,40,0,NA,,,5,Republican,4,4,4,4.5,3.75,3,3,3,3,3,4,4,4,4,4,3,4,3.5,3.5,3.5,3.5,7,7,white_southern,0,less than 1 year,0,0,,5,5,NA,0,Not Guilty,0,,5,5,"I selected ""not guilty""",NA,0,Middle class,3,"$61,000-$90,000",3,Bachelor's degree,3,4,5,2,3,3,5,2,3,Yes,Midwestern Accent,Midwest,4,4,4,4,4,4,6,4.666666667,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66d0ce5923f628509ca2c9f6,-1
197.211.61.58,1373,34,1,0,0,1,6,Democrat,1,1 Extremely Liberal/Left-Leaning,1 Extremely Liberal/Left-Leaning,4.875,4.25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,white_southern,0,10 years,10,1,5,,5,8,8,Not Guilty,0,,5,5,"I selected ""not guilty""",NA,0,Middle class,3,"$61,000-$90,000",3,Bachelor's degree,3,4,4,3,4,3,4,3,3,No,,South,6,6,5,5.666666667,6,6,6,6,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",6606c30a5f12f10ef9ed306c,-1
75.15.181.136,1555,47,0,0,0,1,3,Democrat,4,4,4,3.75,3.75,3,3,3,2,3,3,3,3,3,3,2.5,3,3,2.5,2.75,2.9,7,7,white_southern,0,1 year,1,1,5,,5,2,2,Guilty,1,6,,6,2 years,2,2,Middle class,3,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,3,4,6,7,7,7,7,7,No,,Northeast,7,7,7,7,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66a546ba23c7bc995ee9868e,-1
172.59.218.51,1498,30,0,0,0,1,5,Democrat,1,1 Extremely Liberal/Left-Leaning,2,4.75,4.5,4,5,5,5,5,5,4,5,4,5,5,4,4.5,4.5,4.5,4.7,6,6,white_southern,0,8 years,8,0,,4,4,8,8,Guilty,1,,,,7 years,7,7,Middle class,3,"$31,000-$60,000",2,Bachelor's degree,3,4,3,3,4,4,4,5,5,No,,West,3,4,4,3.666666667,6,4,3,4.333333333,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",6694fedc6063f1953165ca31,-1
206.251.203.69,1852,25,1,0,0,1,5,Democrat,3,3,3,3.75,4,4,2,4,2,2,3,2,2,1,3,2,1.5,2,1.5,1.75,2.5,4,6,white_southern,0,1 year,1,1,3,,3,2,2,Not Guilty,0,,4,4,"I selected ""not guilty""",NA,0,Middle class,3,"$31,000-$60,000",2,Bachelor's degree,3,5,5,2,2,4,4,3,4,Yes,Midwestern Accent,Midwest,7,5,7,6.333333333,7,6,7,6.666666667,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66a9191b0fe43b3ce49f7a88,-1
139.171.39.194,694,22,0,0,0,1,5,Republican,4,4,4,4.375,4.25,3,4,4,3,4,2,3,4,3,4,3.5,3,3.5,3,3.25,3.4,4,4,white_southern,0,3 years,3,,,,,7,7,Guilty,1,4,,4,4 years,4,4,Lower middle class,2,"$61,000-$90,000",3,Bachelor's degree,3,4,4,5,5,5,5,4,3,No,,South,4,3,5,4,4,4,5,4.333333333,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66dec03ec1f404434d0b6bfe,-1
50.124.238.57,1328,55,0,1,1,0,4,Democrat,3,2,3,4.375,3.5,3,3,3,2,3,3,3,3,2,2,2.5,2.5,3,2,2.5,2.7,6,6,white_southern,0,10 years,10,0,,4,4,NA,0,Not Guilty,0,,5,5,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,4,4,3,4,4,6,5,5,Yes,Impossible to tell,Northeast,5,1,2,2.666666667,6,6,7,6.333333333,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66e5aa7a86da804f15b71b01,-1
71.32.146.30,539,32,0,1,1,0,5,Independent,4,4,5,2.625,2.75,2,2,2,1,2,1,1,2,1,1,1.5,1,1.5,1,1.25,1.5,7,7,white_southern,0,5 years,5,,,,,5,5,Guilty,1,5,,5,5 years,5,5,Middle class,3,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,2,5,3,6,6,5,6,7,No,,Midwest,7,5,7,6.333333333,6,5,7,6,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",6688240930ac864c8da559ac,-1
157.182.105.3,516,42,0,1,1,0,5,Independent,3,2,5,4.125,3.875,2,3,3,4,2,3,3,2,3,2,3.5,3,3,3.5,3.25,2.7,6,6,white_southern,0,8 years,8,1,5,,5,8,8,Guilty,1,5,,5,5 years,5,5,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,4,4,4,4,4,5,5,5,Yes,Northeastern Accent,Northeast,5,4,3,4,5,6,6,5.666666667,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",5ca76940b73600000157b4f1,-1
70.40.82.109,658,65,0,1,1,0,5,Independent,5,4,5,4.875,4.625,2,2,2,2,2,3,3,3,3,3,2,3,2.5,2.5,2.5,2.5,5,5,white_southern,0,3 years,3,0,,3,3,NA,0,Guilty,1,5,,5,3 years,3,3,Middle class,3,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,3,4,4,5,4,3,5,5,No,,South,4,4,4,4,5,5,6,5.333333333,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",5d3d871e98775f001569addd,-1
23.127.29.7,854,59,0,1,1,0,5,Democrat,2,2,4,4,4,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2.2,6,4,white_southern,0,2 years,2,0,,5,5,NA,0,Guilty,1,4,,4,2 years,2,2,Middle class,3,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,4,6,3,5,3,6,3,5,Yes,Midwestern Accent,Midwest,6,6,6,6,6,6,6,6,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",60f09796c2a24694ff43f6b7,-1
75.108.171.48,1635,32,1,0,0,1,6,Democrat,2,2,2,3.875,3.75,3,2,3,3,4,2,3,2,2,3,2.5,2.5,2.5,2.5,2.5,2.7,5,5,white_southern,0,2 years,2,1,5,,5,2,2,Guilty,1,5,,5,2 years,2,2,Lower class,1,"$0-$30,000",1,Bachelor's degree,3,4,6,3,2,3,5,4,4,Yes,Impossible to tell,Midwest,5,5,4,4.666666667,5,4,5,4.666666667,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",6642f77025c0fcfc62863fbd,-1
76.31.196.152,570,34,0,0,1,0,6,Republican,5,5,5,4,4.375,2,4,4,5,2,3,4,4,4,2,4.5,4,4,4.5,4.25,3.4,5,5,white_southern,0,2 years,2,0,,5,5,NA,0,Not Guilty,0,,6,6,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,5,5,3,6,6,5,6,6,No,,South,5,5,5,5,5,5,,5,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66b0ec74e1f1837de4454b3f,-1
192.198.57.230,1158,45,0,1,1,0,4,Republican,5,6,5,4,5.375,3,5,2,3,4,3,3,4,4,2,4,3.5,4,3.5,3.75,3.3,7,3,white_southern,0,5 years,5,1,4,,4,4,4,Guilty,1,4,,4,4 years,4,4,Middle class,3,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,3,2,4,5,4,5,4,4,No,,West,3,2,2,2.333333333,4,2,3,3,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",62728884995a1a76605d0214,-1
75.50.120.5,974,57,0,1,1,0,4,Republican,5,5,6,3,3.75,1,3,1,3,3,1,2,1,2,2,3,2,2.5,2.5,2.5,1.9,7,7,white_southern,0,2 years,2,1,1,,1,2,2,Guilty,1,3,,3,2 years,2,2,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,3,3,2,3,2,1,3,1,Yes,Southern Accent,South,7,2,2,3.666666667,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",666b9ec2595532849ff95e7f,-1
174.23.10.94,1022,47,0,1,1,0,2,Independent,4,4,4,2.875,4,2,2,1,2,1,2,2,2,1,1,2,1.5,2,1.5,1.75,1.6,7,4,white_southern,0,5 years,5,1,7,,7,5,5,Guilty,1,4,,4,2 years,2,2,Lower middle class,2,"$0-$30,000",1,"High school graduate or equivalent (e.g., GED)",2,5,5,6,6,6,6,6,7,No,,Midwest,7,7,7,7,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66df5ff9676261dd98012dd5,-1
76.177.9.35,865,66,1,1,1,0,6,Democrat,3,3,5,3,2.875,2,1,4,1,2,2,1,3,1,1,1,1,1,1,1,1.8,7,4,white_southern,0,less than 1 year,0,0,,2,2,NA,0,Not Guilty,0,,3,3,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,3,5,3,2,6,5,2,3,No,,Midwest,6,5,6,5.666666667,7,6,6,6.333333333,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66b75d263e993100952a197e,-1
45.36.192.207,936,60,0,1,1,0,6,Independent,4,4,4,4.375,4.375,3,2,2,2,2,3,3,2,2,3,2,2.5,2.5,2,2.25,2.4,6,7,white_southern,0,2 years,2,0,,3,3,NA,0,Not Guilty,0,,1,1,"I selected ""not guilty""",NA,0,Middle class,3,"$0-$30,000",1,Bachelor's degree,3,3,4,4,5,5,1,6,5,No,,South,5,5,5,5,7,6,7,6.666666667,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",63bc8f3c37a123dbc4eb8f6a,-1
104.251.245.220,9727,49,0,0,1,0,3,Democrat,4,4,4,4.125,3.375,3,5,5,5,3,3,4,3,4,3,5,4,4.5,4.5,4.5,3.8,7,5,white_southern,0,less than 1 year,0,0,,7,7,NA,0,Not Guilty,0,,7,7,"I selected ""not guilty""",NA,0,Lower class,1,"$0-$30,000",1,"High school graduate or equivalent (e.g., GED)",2,7,7,1,5,7,7,5,5,No,,Northeast,4,1,1,2,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66e7077806c647baee4d229a,-1
98.118.174.65,958,53,0,1,1,0,5,Republican,4,4,5,5.875,5.75,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,white_southern,0,2 years,2,0,,4,4,NA,0,Not Guilty,0,,4,4,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,5,1,6,6,5,5,4,6,No,,Midwest,6,6,6,6,6,6,6,6,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",6682b0b622da87763c14179c,-1
134.56.178.108,686,42,0,1,1,0,5,Republican,5,4,6,3.75,4.875,3,4,4,3,3,4,4,4,3,3,3.5,3.5,4,3,3.5,3.5,6,4,white_southern,0,1 year,1,0,,1,1,2,2,Not Guilty,0,,4,4,"I selected ""not guilty""",NA,0,Middle class,3,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,5,6,1,1,5,6,2,2,No,,Northeast,4,1,6,3.666666667,4,6,7,5.666666667,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66a4f85135bbe8707e4454d2,-1
184.103.73.86,559,40,0,1,1,0,3,Other (Please specify),1,1 Extremely Liberal/Left-Leaning,2,1.625,2.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,white_southern,0,less than 1 year,0,0,,3,3,NA,0,Not Guilty,0,,3,3,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,Bachelor's degree,3,4,3,2,4,2,2,2,2,Yes,Western Accent,West,5,4,4,4.333333333,7,7,6,6.666666667,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",657ed969b33b843f6ea841f1,-1
97.104.58.179,794,34,0,1,1,0,5,Republican,5,5,6,4,3.75,3,3,2,2,2,3,3,2,4,2,2.5,3.5,3,3,3,2.6,6,7,white_southern,0,5 years,5,0,,4,4,NA,0,Not Guilty,0,,5,5,"I selected ""not guilty""",NA,0,Lower middle class,2,"$61,000-$90,000",3,"High school graduate or equivalent (e.g., GED)",2,4,5,2,1,5,6,3,3,Yes,Southern Accent,South,5,3,2,3.333333333,6,4,2,4,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",6615f6ae1036cb081282537e,-1
68.212.59.108,564,70,1,1,1,0,2,Independent,6,6,6,2.875,4.5,1,1,1,2,1,1,1,1,2,1,1.5,1.5,1,2,1.5,1.2,4,5,white_southern,0,2 years,2,1,5,,5,2,2,Guilty,1,4,,4,2 years,2,2,Lower middle class,2,"$0-$30,000",1,"High school graduate or equivalent (e.g., GED)",2,4,4,5,5,5,4,5,5,Yes,Southern Accent,South,3,2,2,2.333333333,6,6,2,4.666666667,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",5cba50bf114fa5001aac5570,-1
98.22.234.219,847,65,1,1,1,0,5,Independent,6,6,6,3.875,4.125,2,3,3,1,3,2,3,3,2,3,2,2.5,3,1.5,2.25,2.5,5,5,white_southern,0,1 year,1,0,,2,2,2,2,Not Guilty,0,,5,5,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,4,4,4,4,4,4,4,4,No,,Northeast,4,4,5,4.333333333,5,5,6,5.333333333,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",63daca8ae542ff8f19d3099a,-1
73.68.48.187,2131,52,0,1,1,0,3,Other (Please specify),5,4,6,3.625,4.375,3,3,2,2,2,4,3,2,2,2,2.5,2.5,3,2,2.5,2.5,5,7,white_southern,0,3 years,3,0,,5,5,NA,0,Not Guilty,0,,4,4,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,Bachelor's degree,3,4,4,5,4,5,5,5,5,Yes,Southern Accent,South,4,4,4,4,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",652eba765a354b18c33ce55d,-1
174.208.44.41,698,41,0,1,1,0,4,Republican,5,4,6,2.25,2.875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,white_southern,0,1 year,1,0,,2,2,NA,0,Not Guilty,0,,5,5,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,4,4,5,7,6,7,7,7,Yes,Midwestern Accent,Midwest,1,1,1,1,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",65c0e2c666436599bbc02dc8,-1
