IP Address,Duration (in seconds),age,gender_men,participant_race_WHITE,participant_race_NONBLACK,participant_race_BLACK,participant_EDU,What political party do you most identify with? - Selected Choice,political_ideology_continuous,educationsystem_effectiveness,courtsystem_effectiveness,economicsystem_effectiveness,prisonsystem_effectiveness,healthcaresystem_effectiveness,educationsystem_fairness,courtsystem_fairness,economicsystem_fairness,prisonsystem_fairness,healthcaresystem_fairness,courtprisonsystem_effectiveness_attitudes,courtprisonsystem_fairness_attitudes,courtsystem_effectivenessfairness_attitudes,prisonsystem_effectivenessfairness_attitudes,courtprisonsystem_attitdues,allsystem_effectiveness_attitudes,allsystem_fairness_attitudes,allsystem_attitudes,voting_importance,juryduty_importance,condition_categorical,Condition_Blackdefendant,appropriate_penalty,verdict_PRE,confidence_guilty_PRE,confidence_notguilty_PRE,confidence_verdict_PRE,penalty_continuous_PRE_NA,penalty_continuous_PRE_0,verdict_POST,confidence_guilty_POST,confidence_verdict_POST,confidence_verdict_POST,penalty_continuous_POST_NA,penalty_continuous_POST_NA,impression_defendant_SES,impression_defendant_income,impression_defendant_EDU,impression_defendant_trustworthiness,impression_defendant_intelligence,impression_defendant_dangerous,impression_defendant_reckless,impression_defendant_dominant,impression_defendant_competent,impression_defendant_hotheaded,impression_defendant_impulsive
12.75.116.93,670,48,0,1,1,0,3,Democrat,1,2,4,2,2,3,1,1,1,1,1,3,1,2.5,1.5,2,2.6,1,1.8,7,7,black_standard,1,5,0,,5,5,NA,0,0,,4,4,0,NA,3,3,3,4,3,3,4,4,3,4,3
160.2.144.153,454,33,1,1,1,0,5,Democrat,2,2,2,4,1,4,1,1,1,1,1,1.5,1,1.5,1,1.25,2.6,1,1.8,7,7,black_standard,1,5,0,,6,6,NA,0,0,,6,6,0,NA,2,2,2,4,4,5,5,5,3,6,5
72.207.101.194,720,19,0,0,1,0,3,Democrat,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,4,black_standard,1,6,0,,3,3,NA,0,0,,5,5,0,NA,3,2,3,5,6,3,4,4,4,5,2
108.45.90.21,319,30,1,1,1,0,5,Democrat,3,3,1,3,1,3,2,1,1,1,2,1,1,1,1,1,2.2,1.4,1.8,7,5,black_standard,1,1,0,,7,7,NA,0,0,,7,7,0,NA,3,2,3,5,5,4,3,5,5,5,5
98.186.208.34,1006,34,0,1,1,0,5,Republican,5,3,3,1,4,2,3,2,3,1,4,3.5,1.5,2.5,2.5,2.5,2.6,2.6,2.6,2,7,black_standard,1,2,0,,7,7,2,2,0,,5,5,2,2,3,2,3,4,6,5,5,6,6,3,5
172.58.88.239,690,44,1,0,1,0,3,Independent,1,1,2,1,1,1,1,1,1,1,1,1.5,1,1.5,1,1.25,1.2,1,1.1,1,1,black_standard,1,0,0,,4,4,NA,0,0,,7,7,0,NA,3,2,2,4,5,2,1,2,5,1,1
38.43.19.242,674,32,1,1,1,0,3,Independent,3,2,3,3,1,2,2,2,1,1,2,2,1.5,2.5,1,1.75,2.2,1.6,1.9,7,7,black_standard,1,11,0,,3,3,NA,0,1,7,,7,10,1NA,4,4,3,1,3,7,6,6,6,7,6
74.71.58.37,424,31,1,1,1,0,3,Democrat,1,2,3,3,1,2,1,2,2,1,1,2,1.5,2.5,1,1.75,2.2,1.4,1.8,5,7,black_standard,1,0,0,,3,3,NA,0,1,3,,3,2,2,2,3,2,5,6,3,4,4,6,5,5
99.167.225.195,418,38,0,1,1,0,4,Democrat,1,2,2,2,1,2,2,2,2,2,2,1.5,2,2,1.5,1.75,1.8,2,1.9,7,4,black_standard,1,2,0,,4,4,NA,0,1,6,,6,2,2,3,2,3,3,4,3,7,4,3,5,6
73.186.68.199,411,52,0,1,1,0,6,Democrat,3,2,4,3,1,1,2,4,2,2,1,2.5,3,4,1.5,2.75,2.2,2.2,2.2,7,7,black_standard,1,2,0,,2,2,NA,0,0,,3,3,0,NA,3,3,3,4,4,3,5,3,5,3,4
135.26.7.207,1169,50,0,0,0,1,3,Democrat,4,3,4,4,2,4,3,3,3,1,3,3,2,3.5,1.5,2.5,3.4,2.6,3,7,7,black_standard,1,1,0,,7,7,NA,0,0,,7,7,0,NA,2,1,2,5,6,1,1,5,7,3,4
96.73.166.69,310,37,0,1,1,0,5,Democrat,2,2,2,1,2,2,3,3,2,2,2,2,2.5,2.5,2,2.25,1.8,2.4,2.1,7,6,black_standard,1,0,0,,4,4,NA,0,0,,7,7,0,NA,3,2,3,5,5,3,3,2,5,2,3
35.150.183.1,509,32,0,1,1,0,5,Democrat,1,3,2,2,1,1,2,2,1,1,1,1.5,1.5,2,1,1.5,1.8,1.4,1.6,6,7,black_standard,1,2,0,,6,6,NA,0,0,,5,5,0,NA,2,2,2,3,2,2,2,3,4,2,2
172.59.185.205,744,31,1,1,1,0,3,Republican,6,2,3,3,2,3,2,2,3,2,3,2.5,2,2.5,2,2.25,2.6,2.4,2.5,6,6,black_standard,1,4,0,,5,5,NA,0,0,,5,5,0,NA,2,3,2,3,5,5,4,4,4,4,6
96.32.6.244,437,36,1,0,0,1,5,Independent,3,1,4,4,3,1,3,5,3,4,1,3.5,4.5,4.5,3.5,4,2.6,3.2,2.9,4,1,black_standard,1,1,0,,2,2,NA,0,0,,4,4,0,NA,3,2,3,4,4,4,4,4,4,4,4
45.37.77.71,715,35,1,1,1,0,5,Democrat,3,3,2,4,1,2,2,2,1,2,2,1.5,2,2,1.5,1.75,2.4,1.8,2.1,7,7,black_standard,1,5,0,,2,2,NA,0,0,,2,2,0,NA,3,2,3,3,5,3,6,5,5,6,7
174.82.194.80,393,38,1,0,1,0,5,Democrat,3,1,2,2,1,2,2,2,1,1,2,1.5,1.5,2,1,1.5,1.6,1.6,1.6,7,4,black_standard,1,10,0,,3,3,NA,0,1,5,,5,4,4,3,3,3,4,6,2,3,3,6,5,2
71.82.236.118,392,34,0,0,1,0,5,Democrat,2,3,3,5,1,3,3,3,3,1,2,2,2,3,1,2,3,2.4,2.7,6,5,black_standard,1,5,0,,5,5,NA,0,0,,6,6,0,NA,2,2,2,5,4,3,5,5,5,5,5
97.94.52.102,607,31,1,1,1,0,4,Independent,4,1,2,2,2,3,2,1,2,1,3,2,1,1.5,1.5,1.5,2,1.8,1.9,3,6,black_standard,1,5,0,,5,5,NA,0,1,6,,6,2,2,3,2,3,4,6,4,5,4,6,5,5
73.77.161.138,572,24,1,0,1,0,3,Independent,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,black_standard,1,5,0,,3,3,NA,0,1,4,,4,5,5,2,1,2,2,4,3,5,4,3,5,5
47.154.108.178,1430,31,0,0,1,0,3,Democrat,6,1,2,1,1,1,1,2,1,2,1,1.5,2,2,1.5,1.75,1.2,1.4,1.3,5,4,black_standard,1,1,0,,2,2,NA,0,0,,5,5,0,NA,2,2,3,5,5,3,2,4,5,2,2
73.50.102.13,388,32,1,0,1,0,5,Democrat,1,3,3,2,2,2,3,2,2,1,2,2.5,1.5,2.5,1.5,2,2.4,2,2.2,7,6,black_standard,1,8,0,,6,6,NA,0,0,,5,5,0,NA,3,2,3,6,5,1,1,4,6,1,3
76.98.29.224,444,21,0,0,1,0,2,Democrat,4,2,2,3,1,1,2,3,3,1,1,1.5,2,2.5,1,1.75,1.8,2,1.9,6,6,black_standard,1,3,0,,5,5,NA,0,0,,5,5,0,NA,3,3,3,5,3,3,2,5,3,2,3
47.176.76.194,590,46,1,1,1,0,3,Republican,5,2,3,4,2,4,3,2,4,2,4,2.5,2,2.5,2,2.25,3,3,3,7,7,black_standard,1,2,0,,2,2,NA,0,0,,6,6,0,NA,3,3,3,5,6,2,3,2,6,3,4
172.116.84.80,352,39,1,0,1,0,5,Independent,5,2,2,3,2,2,2,4,2,3,2,2,3.5,3,2.5,2.75,2.2,2.6,2.4,5,3,black_standard,1,5,0,,2,2,NA,0,0,,4,4,0,NA,2,3,2,6,5,1,2,5,3,5,6
104.177.90.171,731,30,1,1,1,0,2,Democrat,2,3,4,3,2,2,3,4,3,2,2,3,3,4,2,3,2.8,2.8,2.8,6,5,black_standard,1,5,0,,5,5,NA,0,1,3,,3,2,2,3,2,2,4,5,4,6,4,3,5,6
217.180.232.1,351,31,1,1,1,0,3,Democrat,3,3,2,4,2,2,3,2,2,2,2,2,2,2,2,2,2.6,2.2,2.4,6,6,black_standard,1,1,0,,3,3,4,4,0,,6,6,0,NA,2,2,2,4,4,1,2,4,4,2,3
204.111.137.7,678,30,0,1,1,0,3,Independent,1,3,2,1,1,2,3,2,1,1,1,1.5,1.5,2,1,1.5,1.8,1.6,1.7,7,5,black_standard,1,3,0,,5,5,NA,0,0,,6,6,0,NA,2,3,2,6,6,1,1,2,7,1,3
47.220.209.22,397,34,0,1,1,0,5,Democrat,3,3,3,4,2,2,3,2,2,2,2,2.5,2,2.5,2,2.25,2.8,2.2,2.5,7,6,black_standard,1,8,0,,4,4,NA,0,0,,5,5,0,NA,3,2,3,4,5,4,5,5,6,5,5
174.213.248.21,705,39,0,0,1,0,2,Democrat,4,1,2,2,2,1,1,2,2,1,1,2,1.5,2,1.5,1.75,1.6,1.4,1.5,7,7,black_standard,1,5,0,,3,3,5,5,0,,4,4,0,NA,2,3,3,4,5,2,3,3,6,4,3
67.6.184.228,342,26,0,1,1,0,2,Democrat,2,2,2,2,1,1,2,1,2,1,1,1.5,1,1.5,1,1.25,1.6,1.4,1.5,7,5,black_standard,1,5,0,,5,5,NA,0,0,,6,6,0,NA,2,2,2,4,6,1,1,4,6,1,2
96.237.48.218,445,23,0,0,1,0,5,Democrat,5,2,2,3,1,3,2,3,3,1,3,1.5,2,2.5,1,1.75,2.2,2.4,2.3,7,7,black_standard,1,4,0,,4,4,NA,0,0,,5,5,0,NA,3,4,3,4,6,5,3,4,6,4,6
24.251.7.18,703,69,0,1,1,0,5,Democrat,2,2,2,3,2,3,3,3,3,2,2,2,2.5,2.5,2,2.25,2.4,2.6,2.5,7,6,black_standard,1,3,0,,4,4,NA,0,0,,5,5,0,NA,3,2,3,4,5,3,4,5,4,4,5
73.27.47.39,472,35,1,0,1,0,4,Democrat,2,2,2,3,1,2,3,1,2,1,2,1.5,1,1.5,1,1.25,2,1.8,1.9,7,5,black_standard,1,2,0,,4,4,NA,0,0,,3,3,0,NA,1,1,2,4,5,4,4,4,5,3,4
68.40.156.39,538,31,0,1,1,0,5,Democrat,2,2,3,3,2,2,3,2,3,2,2,2.5,2,2.5,2,2.25,2.4,2.4,2.4,7,7,black_standard,1,3,0,,1,1,4,4,0,,1,1,3,3,2,2,2,4,5,3,4,5,6,6,6
98.217.237.146,336,23,0,1,1,0,5,Democrat,1,2,2,1,1,2,1,2,1,1,2,1.5,1.5,2,1,1.5,1.6,1.4,1.5,6,6,black_standard,1,3,0,,4,4,NA,0,0,,6,6,0,NA,3,3,3,5,4,2,2,2,5,2,2
76.24.7.141,786,26,1,1,1,0,2,Democrat,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,black_standard,1,1,0,,5,5,NA,0,0,,3,3,0,NA,2,2,3,2,2,7,7,4,2,6,6
38.42.41.165,428,44,1,0,1,0,2,Republican,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,3,black_standard,1,2,0,,2,2,NA,0,0,,4,4,0,NA,3,2,3,5,6,2,2,4,6,2,3
97.80.130.232,517,24,0,0,1,0,5,Democrat,2,2,2,2,2,2,1,1,1,1,1,2,1,1.5,1.5,1.5,2,1,1.5,7,6,black_standard,1,8,0,,4,4,NA,0,0,,4,4,0,NA,2,3,3,4,5,2,3,3,4,3,3
174.238.50.113,547,45,0,1,1,0,3,Republican,7,2,2,3,3,3,5,3,4,3,3,2.5,3,2.5,3,2.75,2.6,3.6,3.1,7,5,black_standard,1,5,0,,4,4,NA,0,0,,6,6,0,NA,2,2,3,4,6,1,3,4,6,4,4
73.136.66.88,664,48,0,1,1,0,3,Independent,4,2,2,2,2,2,2,2,1,1,2,2,1.5,2,1.5,1.75,2,1.6,1.8,7,7,black_standard,1,2,0,,5,5,NA,0,0,,6,6,0,NA,3,2,3,6,6,1,2,1,7,1,1
198.209.162.63,375,31,1,1,1,0,4,Democrat,3,2,3,3,2,2,3,2,2,2,1,2.5,2,2.5,2,2.25,2.4,2,2.2,7,6,black_standard,1,0,0,,2,2,NA,0,0,,4,4,0,NA,3,2,3,4,6,2,2,4,5,2,2
71.213.174.49,948,30,1,1,1,0,2,Independent,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1.1,2,4,black_standard,1,2,0,,5,5,NA,0,0,,5,5,0,NA,3,2,2,4,4,4,4,4,4,4,4
98.170.213.193,687,32,0,1,1,0,3,Republican,3,2,2,3,1,2,1,1,2,2,3,1.5,1.5,1.5,1.5,1.5,2,1.8,1.9,5,5,black_standard,1,1,0,,4,4,NA,0,0,,5,5,0,NA,2,2,3,4,6,3,4,3,6,5,5
73.157.117.143,479,35,0,1,1,0,6,Independent,4,3,3,2,2,2,3,2,3,2,2,2.5,2,2.5,2,2.25,2.4,2.4,2.4,7,5,black_standard,1,5,0,,4,4,NA,0,0,,4,4,0,NA,3,3,3,4,5,4,5,4,5,5,5
100.37.127.64,468,47,1,1,1,0,3,Republican,4,2,2,2,3,2,3,2,2,1,2,2.5,1.5,2,2,2,2.2,2,2.1,5,6,black_standard,1,5,0,,2,2,NA,0,0,,1,1,0,NA,2,2,2,3,5,5,4,5,5,4,4
128.252.154.3,2331,40,1,0,1,0,6,Democrat,4,3,3,4,4,2,3,4,4,4,3,3.5,4,3.5,4,3.75,3.2,3.6,3.4,6,6,black_standard,1,2,0,,5,5,NA,0,0,,6,6,0,NA,1,2,2,4,4,3,3,3,3,3,4
47.147.74.88,784,29,1,0,0,1,6,Democrat,3,3,3,2,1,2,3,3,1,1,2,2,2,3,1,2,2.2,2,2.1,6,4,white_written,0,2,0,,1,1,NA,0,1,3,,3,3,3,3,3,3,2,4,5,5,4,4,4,4
71.77.208.55,708,21,0,1,1,0,2,Independent,4,2,2,2,1,2,1,1,1,1,1,1.5,1,1.5,1,1.25,1.8,1,1.4,5,5,white_written,0,2,0,,5,5,NA,0,0,,,NA,0,NA,3,3,2,4,3,1,2,3,2,2,2
99.104.33.140,1744,50,0,0,1,0,6,Democrat,3,3,4,3,4,3,4,3,2,2,3,4,2.5,3.5,3,3.25,3.4,2.8,3.1,7,5,white_written,0,5,0,,4,4,NA,0,0,,5,5,0,NA,3,3,3,5,6,1,2,4,7,4,1
208.189.218.40,943,51,0,1,1,0,3,Independent,6,2,3,2,2,1,2,2,2,2,1,2.5,2,2.5,2,2.25,2,1.8,1.9,5,5,white_written,0,5,0,,1,1,NA,0,0,,1,1,0,NA,2,1,2,3,3,4,4,3,3,4,4
98.151.43.253,691,36,1,0,1,0,4,Independent,4,2,3,2,2,2,2,3,2,2,2,2.5,2.5,3,2,2.5,2.2,2.2,2.2,4,7,white_written,0,5,0,,2,2,NA,0,0,,6,6,0,NA,3,2,3,4,4,1,2,4,4,2,2
207.228.9.50,667,45,1,1,1,0,5,Republican,6,4,5,3,4,5,4,4,3,4,4,4.5,4,4.5,4,4.25,4.2,3.8,4,6,5,white_written,0,1,0,,6,6,3,3,0,,6,6,2,2,2,2,2,2,3,3,4,3,3,4,5
75.176.136.29,783,65,0,1,1,0,5,Republican,6,3,4,4,2,4,4,4,4,3,4,3,3.5,4,2.5,3.25,3.4,3.8,3.6,7,6,white_written,0,11,0,,4,4,NA,0,0,,4,4,0,NA,3,2,3,2,4,3,5,1,4,5,4
73.42.161.252,579,24,1,0,1,0,5,Democrat,2,3,2,3,1,1,3,3,2,1,1,1.5,2,2.5,1,1.75,2,2,2,6,5,white_written,0,4,0,,4,4,NA,0,0,,4,4,0,NA,3,3,3,3,3,3,3,3,3,2,3
71.218.242.230,2088,56,0,0,0,1,5,Democrat,2,3,2,3,2,1,3,2,2,2,1,2,2,2,2,2,2.2,2,2.1,7,7,white_written,0,1,0,,5,5,NA,0,0,,5,5,0,NA,1,2,2,5,2,1,5,6,5,7,6
69.116.218.243,601,21,1,0,0,1,3,Republican,6,2,2,4,1,2,4,2,4,4,1,1.5,3,2,2.5,2.25,2.2,3,2.6,7,7,white_written,0,4,0,,5,5,4,4,0,,5,5,0,NA,1,2,2,4,4,4,5,5,5,6,5
98.230.75.17,329,37,1,1,1,0,5,Other (Please specify): green,1,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1.6,1.4,1.5,6,4,white_written,0,5,0,,6,6,5,5,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71.229.231.124,564,32,1,1,1,0,3,Democrat,2,3,2,1,1,1,3,2,1,1,2,1.5,1.5,2,1,1.5,1.6,1.8,1.7,4,3,white_written,0,2,0,,5,5,NA,0,0,,6,6,0,NA,2,2,2,4,4,3,5,1,4,5,3
68.32.177.170,627,37,0,0,1,0,2,Democrat,2,2,2,1,1,1,1,3,1,2,1,1.5,2.5,2.5,1.5,2,1.4,1.6,1.5,6,2,white_written,0,1,0,,1,1,NA,0,0,,1,1,0,NA,1,2,2,3,3,3,3,3,3,4,4
73.27.247.192,625,69,1,1,1,0,4,Independent,4,1,3,2,NA,1,1,3,2,1,1,3,2,3,1,NA,1.75,1.6,NA,7,7,white_written,0,5,0,,4,4,NA,0,0,,6,6,0,NA,1,2,2,4,4,4,4,4,4,4,4
172.100.253.123,452,60,0,1,1,0,3,Republican,4,2,3,2,3,2,3,3,2,3,2,3,3,3,3,3,2.4,2.6,2.5,7,7,white_written,0,1,0,,7,7,NA,0,0,,7,7,0,NA,3,2,3,4,5,1,2,1,4,4,4
99.23.43.136,582,55,0,1,1,0,6,Democrat,3,2,2,2,2,1,2,2,2,1,1,2,1.5,2,1.5,1.75,1.8,1.6,1.7,5,6,white_written,0,4,0,,2,2,NA,0,0,,3,3,0,NA,3,3,3,5,6,5,5,6,6,5,5
47.13.172.177,383,58,0,0,1,0,3,Independent,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,white_written,0,5,0,,6,6,NA,0,0,,7,7,0,NA,2,2,3,4,6,1,1,1,6,1,1
174.59.125.240,523,58,1,1,1,0,5,Republican,5,2,1,2,1,2,2,2,2,2,3,1,2,1.5,1.5,1.5,1.6,2.2,1.9,7,5,white_written,0,1,0,,5,5,NA,0,1,5,,5,2,2,3,2,2,3,5,4,3,5,4,4,5
173.56.217.170,315,30,0,0,0,1,3,Other (Please specify): Communist,1,2,2,1,1,2,1,1,1,1,1,1.5,1,1.5,1,1.25,1.6,1,1.3,3,4,white_written,0,2,0,,4,4,NA,0,1,2,,2,2,2,3,2,3,4,4,4,5,4,4,5,5
47.197.67.218,425,62,0,1,1,0,6,Republican,6,2,3,2,2,2,2,3,2,2,2,2.5,2.5,3,2,2.5,2.2,2.2,2.2,7,7,white_written,0,5,0,,5,5,NA,0,0,,6,6,0,NA,3,2,2,5,5,2,2,5,6,3,3
96.232.157.205,429,34,1,1,1,0,5,Other (Please specify): Green,1,2,3,2,2,3,2,3,2,2,3,2.5,2.5,3,2,2.5,2.4,2.4,2.4,7,7,white_written,0,3,0,,1,1,NA,0,0,,2,2,0,NA,3,2,3,3,2,4,5,5,3,6,5
107.122.229.62,381,41,1,1,1,0,5,Democrat,4,4,2,4,2,2,4,2,4,2,2,2,2,2,2,2,2.8,2.8,2.8,7,7,white_written,0,2,0,,4,4,NA,0,0,,4,4,0,NA,2,2,2,3,3,4,5,3,4,5,2
97.104.136.250,595,43,1,1,1,0,5,Independent,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2.2,2,2.1,4,5,white_written,0,1,0,,1,1,NA,0,0,,1,1,0,NA,3,3,3,4,5,3,4,4,6,4,4
174.229.178.108,488,28,0,1,1,0,2,Independent,4,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1.8,1.8,1.8,7,7,white_written,0,3,0,,3,3,NA,0,0,,3,3,0,NA,1,2,2,2,5,4,5,4,7,4,4
68.207.10.230,486,25,0,1,1,0,5,Republican,4,2,2,2,3,1,2,2,2,3,1,2.5,2.5,2,3,2.5,2,2,2,7,6,white_written,0,3,0,,4,4,NA,0,1,4,,4,2,2,3,2,2,4,4,3,3,6,5,5,2
71.114.92.62,539,27,1,1,1,0,5,Republican,5,2,2,3,1,2,3,2,1,2,3,1.5,2,2,1.5,1.75,2,2.2,2.1,4,5,white_written,0,2,0,,4,4,NA,0,0,,2,2,0,NA,2,2,2,4,2,4,3,3,3,4,4
104.162.152.210,346,21,1,0,1,0,3,Independent,4,2,3,3,2,2,2,3,2,2,2,2.5,2.5,3,2,2.5,2.4,2.2,2.3,7,5,white_written,0,2,0,,,,NA,0,0,,4,4,0,NA,3,3,2,4,4,4,4,4,4,4,5
73.225.128.245,429,37,1,1,1,0,5,Democrat,3,2,2,3,1,2,3,2,2,2,1,1.5,2,2,1.5,1.75,2,2,2,5,4,white_written,0,3,0,,2,2,NA,0,0,,2,2,0,NA,2,2,2,3,4,4,6,5,4,5,6
174.103.0.57,549,53,0,0,1,0,5,Democrat,1,2,2,2,1,2,2,2,1,2,1,1.5,2,2,1.5,1.75,1.8,1.6,1.7,7,2,white_written,0,5,0,,4,4,4,4,1,4,,4,4,4,1,1,2,2,3,5,7,7,4,7,7
96.19.35.159,340,31,0,1,1,0,3,Independent,3,2,2,2,1,2,3,2,1,1,1,1.5,1.5,2,1,1.5,1.8,1.6,1.7,5,6,white_written,0,8,0,,3,3,NA,0,0,,4,4,0,NA,2,2,2,4,5,2,1,5,5,3,2
73.238.12.81,314,42,1,1,1,0,4,Republican,6,1,1,1,1,1,2,3,1,2,2,1,2.5,2,1.5,1.75,1,2,1.5,5,5,white_written,0,1,0,,4,4,NA,0,1,5,,5,2,2,3,3,2,4,4,5,5,5,5,5,6
98.96.114.47,428,32,1,0,1,0,5,Democrat,2,2,3,1,1,1,1,3,1,1,1,2,2,3,1,2,1.6,1.4,1.5,4,6,white_written,0,5,0,,3,3,NA,0,0,,5,5,0,NA,2,2,2,4,3,2,5,3,4,5,6
98.180.193.37,933,28,0,1,1,0,6,Democrat,2,2,2,2,2,2,3,3,2,2,2,2,2.5,2.5,2,2.25,2,2.4,2.2,7,5,white_written,0,5,0,,4,4,NA,0,0,,4,4,0,NA,3,2,3,4,4,4,5,4,4,4,5
68.4.136.68,376,56,0,1,1,0,4,Other (Please specify): libertarian,5,2,2,2,2,2,2,3,2,2,1,2,2.5,2.5,2,2.25,2,2,2,6,4,white_written,0,0,0,,4,4,NA,0,0,,4,4,0,NA,2,2,2,2,2,6,7,5,3,7,6
67.172.234.64,481,70,0,1,1,0,6,Democrat,2,2,3,2,2,3,2,2,2,1,2,2.5,1.5,2.5,1.5,2,2.4,1.8,2.1,7,7,white_written,0,1,0,,2,2,NA,0,0,,2,2,0,NA,3,2,3,4,4,4,4,4,5,2,4
174.247.156.165,1329,36,0,1,1,0,5,Democrat,2,3,3,4,5,5,4,3,4,3,5,4,3,3,4,3.5,4,3.8,3.9,7,7,white_written,0,2,0,,6,6,3,3,0,,5,5,2,2,2,1,2,6,6,3,3,5,6,4,5
67.253.201.215,304,62,0,1,1,0,5,Republican,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,white_written,0,3,0,,4,4,3,3,0,,5,5,0,NA,2,2,2,4,3,1,5,4,5,4,4
75.7.116.83,392,36,0,1,1,0,4,Independent,4,3,3,1,3,1,3,3,3,3,1,3,3,3,3,3,2.2,2.6,2.4,4,4,white_written,0,1,0,,5,5,2,2,0,,6,6,2,2,3,2,3,6,6,1,1,4,6,1,1
174.80.208.122,663,37,1,1,1,0,5,Democrat,4,2,4,4,1,2,2,3,2,1,2,2.5,2,3.5,1,2.25,2.6,2,2.3,7,4,white_written,0,1,0,,,,NA,0,0,,1,1,0,NA,3,2,3,3,4,2,5,4,4,5,5
207.72.49.74,344,28,0,1,1,0,5,Republican,5,3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,2.6,2.6,2.6,6,6,white_written,0,2,0,,4,4,NA,0,0,,5,5,0,NA,3,2,2,5,4,4,2,7,6,4,5
174.53.141.21,368,36,0,1,1,0,5,Democrat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,white_written,0,0,0,,4,4,NA,0,0,,4,4,0,NA,2,2,3,4,4,4,4,4,4,4,4
73.161.62.42,905,33,0,1,1,0,3,Independent,4,2,3,3,2,3,3,3,3,2,2,2.5,2.5,3,2,2.5,2.6,2.6,2.6,4,7,white_written,0,11,0,,4,4,NA,0,0,,4,4,0,NA,2,2,3,4,4,4,5,4,4,6,5
64.253.26.195,730,21,1,1,1,0,3,Independent,4,3,3,3,2,2,3,3,2,1,2,2.5,2,3,1.5,2.25,2.6,2.2,2.4,5,5,white_southern,0,1,0,,4,4,NA,0,1,4,,4,2,2,2,1,2,4,4,2,2,3,4,3,1
73.240.78.155,718,33,0,0,1,0,3,Other (Please specify): Left/socialism,4,3,2,1,2,1,2,1,1,1,1,2,1,1.5,1.5,1.5,1.8,1.2,1.5,7,6,white_southern,0,3,0,,4,4,NA,0,0,,2,2,0,NA,2,2,3,4,4,3,5,4,4,6,4
70.190.46.176,792,28,0,0,1,0,5,Democrat,2,3,3,2,2,3,3,2,2,1,2,2.5,1.5,2.5,1.5,2,2.6,2,2.3,7,6,white_southern,0,3,0,,3,3,NA,0,0,,5,5,0,NA,3,2,3,4,3,2,5,1,6,6,5
67.167.166.208,463,34,1,1,1,0,5,Democrat,1,2,3,2,2,3,2,3,2,2,3,2.5,2.5,3,2,2.5,2.4,2.4,2.4,7,7,white_southern,0,3,0,,1,1,NA,0,0,,1,1,0,NA,3,2,2,1,3,5,4,4,3,7,6
174.243.248.67,573,36,0,1,1,0,3,Republican,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,white_southern,0,5,0,,4,4,NA,0,1,6,,6,5,5,1,2,2,1,4,4,7,5,4,7,7
67.233.164.174,457,41,1,1,1,0,3,Democrat,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,white_southern,0,2,0,,6,6,NA,0,1,6,,6,2,2,2,1,2,2,2,6,7,5,2,7,7
24.177.166.29,410,26,1,0,1,0,5,Democrat,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1.6,1.2,1.4,6,5,white_southern,0,8,0,,3,3,8,8,0,,2,2,0,NA,2,3,2,4,3,4,5,5,2,5,5
73.113.153.1,548,43,1,1,1,0,2,Independent,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.8,2,1.9,2,6,white_southern,0,0,0,,5,5,NA,0,1,6,,6,2,2,3,2,2,4,5,3,5,5,5,4,5
47.25.208.151,1654,48,0,1,1,0,3,Other (Please specify): libertarian,5,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1.4,1.2,4,4,white_southern,0,2,0,,1,1,NA,0,0,,4,4,0,NA,2,2,2,4,4,2,5,3,4,5,1
71.237.123.45,680,33,1,1,1,0,5,Independent,4,1,4,4,1,2,1,3,4,1,2,2.5,2,3.5,1,2.25,2.4,2.2,2.3,2,7,white_southern,0,2,0,,5,5,NA,0,1,5,,5,2,2,2,1,2,3,2,2,6,4,4,4,6
35.145.148.32,590,25,0,0,1,0,2,Democrat,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,white_southern,0,2,0,,5,5,2,2,0,,5,5,0,NA,2,1,2,3,5,2,2,2,2,3,4
108.73.179.180,714,59,0,1,1,0,3,Republican,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,6,white_southern,0,1,0,,3,3,NA,0,0,,3,3,0,NA,2,1,2,2,2,3,3,3,2,3,3
